,space,latitude,longitude,w01,w02,w03,w04,spaceType,building,potted plant,suitcase,chair,sink,toilet,mouse,backpack,dining table,keyboard,clock,cup,train,refrigerator,remote,person,bench,laptop,umbrella,tv,bottle,book
0,gmtechLab,23.186912,72.627824,-60,-60,-60,0,Lab,Laboratory,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
1,mtechLab,23.187083,72.628061,-62,-62,-61,0,Lab,Laboratory,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0
2,roboticsLab,23.186913,72.627893,-38,-83,-37,0,Lab,Laboratory,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1
3,roboticsLobby,23.186913,72.627894,-52,-52,-52,0,Lobby,Laboratory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,mtechLobby,23.187142,72.628069,-61,-62,-61,0,Lobby,Laboratory,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
5,vlsiLab,23.187076,72.628212,-72,-72,-72,0,Lab,Laboratory,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0
6,vlsiDesignLab,23.187269,72.628176,-72,-72,-72,0,Lab,Laboratory,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1
7,cep202,23.18835,72.627873,0,-88,-89,-87,Classroom,CEP,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0
8,cep104,23.188513,72.627565,0,-69,-69,-66,Classroom,CEP,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9,cep105,23.188347,72.627878,0,-68,-69,-69,Classroom,CEP,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,cep106,23.18835,72.62788,0,-68,-77,77,Classroom,CEP,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
